index,Data,Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",region,state,station,station_code,latitude,longitude,height
229380,2019-03-09,12:00,0.0,922.6,922.7,922.3,2120,27.7,18.2,27.9,24.7,19.2,17.5,71,55,56,127,6.7,3.5,CO,GO,POSSE,A017,-14.08921,-46.366497,830.0
223127,2007-07-29,23:00,0.0,923.7,923.8,922.9,-9999,23.7,11.9,24.5,23.6,11.9,10.8,48,42,48,117,5.5,3.1,CO,GO,POSSE,A017,-14.08916666,-46.36638888,834.0
176077,2019-10-16,02:00,0.0,914.2,914.3,914.1,-9999,25.8,8.6,26.7,25.8,8.7,8.2,34,31,34,128,3.7,1.8,CO,GO,CATALAO,A034,-18.154779,-47.927614,900.72
298624,2018-02-19,16:00,0.0,977.8,978.8,977.8,1261,27.3,22.3,27.5,26.1,23.0,22.2,80,74,74,10,5.3,1.3,CO,MT,RONDONOPOLIS,A907,-16.45,-54.56666666,284.0
337911,2013-04-08,15:00,0.0,967.8,968.6,967.8,1942,29.0,21.6,29.4,28.7,22.4,21.4,68,64,65,103,4.3,1.8,CO,MS,PARANAIBA,A710,-19.69527777,-51.18138888,424.0
363021,2019-09-05,21:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MS,FATIMA DO SUL,S708,-22.308694,-54.325833,340.0
74716,2019-01-16,15:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MT,S.J. DO RIO CLARO,A903,-13.453981,-56.677323,339.59
226984,2015-11-29,16:00,0.0,962.0,962.9,962.0,3514,31.0,18.7,31.4,29.6,21.9,17.9,62,46,48,71,5.9,2.5,CO,MT,TANGARA DA SERRA,A902,-14.65,-57.41666666,321.5
94397,2008-07-17,05:00,0.0,962.9,963.2,962.8,-9999,12.8,9.6,15.6,12.7,10.4,9.1,81,71,81,173,2.8,0.1,CO,GO,ITUMBIARA,A035,-18.40972222,-49.19194444,488.0
151710,2011-03-13,21:00,0.0,965.3,965.3,964.8,191,25.8,21.7,28.0,25.8,23.3,21.6,80,69,78,331,7.9,3.3,CO,MT,QUERENCIA,A916,-12.5986111,-52.19444444,339.0
268476,2010-01-12,12:00,0.0,931.2,931.2,930.8,1595,24.3,19.0,24.3,22.3,20.5,18.8,87,72,72,253,4.0,2.4,CO,GO,CAIAPONIA,A023,-16.96666666,-51.81749999,737.0
78373,2019-06-18,00:00,0.0,976.4,976.4,975.7,-9999,19.9,15.3,21.4,19.9,16.2,15.3,76,69,75,236,0.0,0.0,CO,MT,S.J. DO RIO CLARO,A903,-13.453981,-56.677323,339.59
